protein1 protein2
YAL003W YIL148W
YAL003W YJL136C
YAL003W YDR447C
YAL003W YKL180W
YAL003W YGL189C
YAL003W YBL087C
YAL003W YNL209W
YAL003W YER102W
YAL003W YPL143W
YAL003W YLR340W
YAL003W YGL031C
YAL003W YNL069C
YAL003W YOL121C
YAL003W YBR118W
YAL003W YOR063W
YAL003W YGR085C
YAL003W YDL061C
YAL003W YLR249W
YAL003W YPL090C
YAL003W YBR031W
YAL003W YER131W
YAL003W YHL001W
YAL003W YHR010W
YAL003W YJL190C
YAL003W YFR031C-A
YAL003W YGR253C
YAL003W YLR333C
YAL003W YDR064W
YAL003W YNL162W
YAL003W YBL027W
YAL003W YJL189W
YAL003W YOL039W
YAL003W YER056C-A
YAL003W YNL301C
YAL003W YBL092W
YAL003W YLR367W
YAL004W YOR053W
YAL005C YJL034W
YAL005C YKR082W
YAL005C YJR042W
YAL005C YJL039C
YAL005C YFR002W
YAL005C YGR285C
YAL005C YOR007C
YAL005C YNL024C
YAL005C YLR259C
YAL005C YKR095W
YAL005C YMR161W
YAL005C YBR072W
YAL005C YDL116W
YAL005C YGL092W
YAL005C YNL077W
YAL005C YJR147W
YAL005C YHR117W
YAL005C YOR098C
YAL005C YGR119C
YAL005C YKL057C
YAL005C YNL064C
YAL005C YDR258C
YAL005C YJL041W
YAL005C YLL024C
YAL005C YGL073W
YAL005C YOR027W
YAL005C YBL079W
YAL005C YLR335W
YAL005C YFL016C
YAL005C YML103C
YAL005C YJL061W
YAL005C YER107C
YAL005C YPL106C
YAL005C YDR320C
YAL005C YIL063C
YAL005C YDL126C
YAL005C YLR208W
YAL005C YLR090W
YAL005C YLL026W
YAL005C YHR206W
YAL005C YBR101C
YAL005C YNL007C
YAL005C YGR249W
YAL005C YNL229C
YAL005C YDR172W
YAL005C YPL240C
YAL005C YMR186W
YAL005C YDR002W
YAL007C YAR002C-A
YAL007C YGL002W
YAL007C YOR016C
YAL007C YGL200C
YAL007C YML012W
YAL007C YHR110W
YAL008W YBR053C
YAL009W YHR004C
YAL009W YDL116W
YAL009W YMR165C
YAL009W YDR284C
YAL010C YHR083W
YAL010C YOR045W
YAL010C YOR228C
YAL010C YAL048C
YAL010C YNL121C
YAL010C YLL040C
YAL010C YOL009C
YAL010C YMR060C
YAL010C YNL026W
YAL010C YGL219C
YAL010C YNL070W
YAL010C YJR135W-A
YAL010C YNL055C
YAL010C YPR133W-A
YAL010C YGR082W
YAL010C YMR203W
YAL010C YHR194W
YAL010C YLL006W
YAL010C YBR179C
YAL010C YLL001W
YAL010C YGR181W
YAL010C YNL131W
YAL011W YLR085C
YAL011W YBR231C
YAL011W YLR385C
YAL011W YLR399C
YAL011W YFL039C
YAL011W YGR002C
YAL011W YPL129W
YAL011W YDR485C
YAL011W YDR190C
YAL011W YDR334W
YAL011W YGL150C
YAL011W YJL081C
YAL011W YPL235W
YAL011W YNL107W
YAL011W YML041C
YAL011W YLR052W
YAL011W YOR189W
YAL011W YOL012C
YAL012W YER043C
YAL012W YGR012W
YAL012W YHR208W
YAL012W YGR171C
YAL012W YJL101C
YAL012W YML082W
YAL012W YOR251C
YAL012W YDR353W
YAL012W YGL184C
YAL012W YLR303W
YAL012W YHR106W
YAL012W YLR027C
YAL012W YJR139C
