node1 node2
RPN4 ALG13
RPN4 PNC1
RPN4 MIG1
RPN4 RPL24A
RPN4 RPL30
RPN4 PDR1
RPN4 SCL1
RPN4 MPO1
RPN4 LEU1
RPN4 STF2
RPN4 YGR018C
RPN4 UGA1
RPN4 MTL1
RPN4 RPS25A
RPN4 GSC2
RPN4 RPL26B
RPN4 YGR035C
RPN4 NQM1
RPN4 YGR045C
RPN4 UFD1
RPN4 MCO32
RPN4 SPR3
RPN4 YGR066C
RPN4 YGR079W
RPN4 RPL11B
RPN4 PDC6
RPN4 CTT1
RPN4 VAS1
RPN4 ASK10
RPN4 PCP1
RPN4 CLB6
RPN4 CLD1
RPN4 SHY1
RPN4 RPS23A
RPN4 YGR127W
RPN4 PRE9
RPN4 TPO2
RPN4 BTN2
RPN4 THI4
RPN4 RPL24B
RPN4 GPC1
RPN4 YGR153W
RPN4 RTS3
RPN4 YGR176W
RPN4 CRH1
RPN4 SNG1
RPN4 YGR201C
RPN4 RPS0A
RPN4 AZR1
RPN4 AMA1
RPN4 PHB2
RPN4 YHB1
RPN4 MIC26
RPN4 PEX21
RPN4 MPC3
RPN4 SOL4
RPN4 PUP2
RPN4 ENO1
RPN4 GND2
RPN4 RAD2
RPN4 HUA1
RPN4 YGR273C
RPN4 ERV29
RPN4 MAL11
RPN4 MAL12
RPN4 PAU12
RPN4 PAU13
RPN4 YHL042W
RPN4 RPL8A
RPN4 ECM29
RPN4 WSC4
RPN4 RIM4
RPN4 AIM17
RPN4 DUR3
RPN4 RPS20
RPN4 YHL008C
RPN4 QCR10
RPN4 RPL27A
RPN4 SPO13
RPN4 YSC84
RPN4 DED81
RPN4 YHR020W
RPN4 RPS27B
RPN4 ECM12
RPN4 THR1
RPN4 SLT2
RPN4 FSH1
RPN4 YHR054C
RPN4 SSZ1
RPN4 PCL5
RPN4 SAE3
RPN4 RTC3
RPN4 GAR1
RPN4 HXT5
RPN4 GRE3
RPN4 COX23
RPN4 NDT80
RPN4 SPL2
RPN4 ARO9
RPN4 YHR138C
RPN4 SPS100
RPN4 YHR140W
RPN4 RPL42B
RPN4 YHR145C
RPN4 SPO16
RPN4 REC104
RPN4 PEX18
RPN4 EGD2
RPN4 NVJ1
RPN4 RPS4B
RPN4 BAT1
RPN4 CRG1
RPN4 YHR214W
RPN4 POT1
RPN4 GUT2
RPN4 YIL152W
RPN4 RPL40A
RPN4 OM45
RPN4 RPL16A
RPN4 SIM1
RPN4 POG1
RPN4 QDR2
RPN4 PRM5
RPN4 SDP1
RPN4 COX5B
RPN4 PFK26
RPN4 XBP1
RPN4 YIL100W
RPN4 SGA1
RPN4 YIL086C
RPN4 HOP1
RPN4 RPS24B
RPN4 RNR3
RPN4 YIL058W
RPN4 RGI2
RPN4 RPL34B
RPN4 PRM2
RPN4 RPL2B
RPN4 YIL014C-A
RPN4 PDR11
RPN4 STS1
RPN4 MET28
RPN4 INA22
RPN4 DAL4
RPN4 DAL3
RPN4 HYR1
RPN4 GTT1
RPN4 YPS6
RPN4 YIR043C
RPN4 HXT9
RPN4 YJL215C
RPN4 RPS22A
RPN4 RPL39
RPN4 RPL17B
RPN4 HSP150
RPN4 FBP26
RPN4 INO1
RPN4 ROQ1
RPN4 RPS21B
RPN4 YJL132W
RPN4 RPE1
RPN4 YJL119C
RPN4 IME2
RPN4 PRE3
RPN4 MHO1
RPN4 MET3
RPN4 ILV3
RPN4 BNA1
RPN4 ANB1
RPN4 OPI3
RPN4 RPL43B
RPN4 YJR096W
RPN4 ABM1
RPN4 JHD2
RPN4 RPS5
RPN4 PMT4
RPN4 RPS4A
RPN4 DAN1
RPN4 THI11
RPN4 SRY1
RPN4 URA1
RPN4 YKL202W
RPN4 MIA40
RPN4 PXA2
RPN4 FAS1
RPN4 RPL17A
RPN4 STE3
RPN4 YKL177W
RPN4 PIR3
RPN4 YKL162C-A
RPN4 YKL162C
RPN4 KDX1
RPN4 RSM22
RPN4 NNR2
RPN4 RPT1
RPN4 MRP8
RPN4 YKL136W
RPN4 RCI50
RPN4 PGM1
RPN4 SSH4
RPN4 OAC1
RPN4 HAP4
RPN4 YKL107W
RPN4 APE1
RPN4 YKL091C
RPN4 TEF4
RPN4 SMY1
RPN4 YET1
RPN4 MSN4
RPN4 MMO1
RPN4 AIM26
RPN4 GPX1
RPN4 PUT3
RPN4 RPL14A
RPN4 YKR011C
RPN4 YKR012C
RPN4 DID2
RPN4 PLN1
RPN4 FMP46
RPN4 RPS21A
RPN4 GLG1
RPN4 TIF1
RPN4 KTR2
RPN4 YKR075C
RPN4 ECM4
RPN4 MTD1
RPN4 SRL3
RPN4 RPL40B
RPN4 PCK1
RPN4 UBP11
RPN4 VBA5
RPN4 GEX2
RPN4 PAU18
RPN4 JLP1
RPN4 RNP1
RPN4 RPL8B
RPN4 UBI4
RPN4 YLL037W
RPN4 HSP104
RPN4 SSA2
RPN4 YLL020C
RPN4 KNS1
RPN4 NSE1
RPN4 TEN1
RPN4 YLR012C
RPN4 IZH3
RPN4 RPL15A
RPN4 YLR030W
RPN4 YLR031W
RPN4 YLR042C
RPN4 RPS0B
RPN4 OSW2
RPN4 SHM2
RPN4 RPL22A
RPN4 XYL2
RPN4 RPL10
RPN4 EMP46
RPN4 GAL2
RPN4 XDJ1
RPN4 SUL2
RPN4 REX3
RPN4 AHP1
RPN4 YPS1
RPN4 YPS3
RPN4 USB1
RPN4 PUT1
RPN4 YLR149C
RPN4 STM1
RPN4 RPS31
RPN4 UPS2
RPN4 YLR171W
RPN4 IDP2
RPN4 TFS1
RPN4 YLR179C
RPN4 SAM1
RPN4 RPL37A
RPN4 NCW2
RPN4 YLR198C
RPN4 PBA1
RPN4 HMX1
RPN4 FRE1
RPN4 CPR6
RPN4 YLR217W
RPN4 IFH1
RPN4 IRC20
RPN4 YEF3
RPN4 SYM1
RPN4 YLR252W
RPN4 YLR255C
RPN4 GSY2
RPN4 HSP60
RPN4 TMA7
RPN4 BOP2
RPN4 DCS1
RPN4 PIG1
RPN4 YLR297W
RPN4 ECM38
RPN4 ACO1
RPN4 ATG39
RPN4 PEX30
RPN4 RPL38
RPN4 TMA10
RPN4 RPS25B
RPN4 RPP0
RPN4 GAS2
RPN4 RPL26A
RPN4 YLR345W
RPN4 CIS1
RPN4 YLR349W
RPN4 ILV5
RPN4 ATG33
RPN4 YLR358C
RPN4 YLR365W
RPN4 RPS22B
RPN4 FBP1
RPN4 REH1
RPN4 RPS29A
RPN4 YLR400W
RPN4 RPL31B
RPN4 YLR407W
RPN4 PUN1
RPN4 URA4
RPN4 RPS1A
RPN4 RPL6B
RPN4 YLR463C
RPN4 YLR465C
RPN4 ERO1
RPN4 MSC1
RPN4 PHO84
RPN4 YML122C
RPN4 NGL3
RPN4 YML101C-A
RPN4 TSL1
RPN4 YML094C-A
RPN4 PRE8
RPN4 UFO1
RPN4 AIM33
RPN4 RPL6A
RPN4 DAK1
RPN4 SMA2
RPN4 RPS1B
RPN4 IMD4
RPN4 CYB2
RPN4 CAT2
RPN4 RAD52
RPN4 RPS18B
RPN4 RPS17A
RPN4 YML012C-A
RPN4 YML009W-B
RPN4 YAP1
RPN4 GLO1
RPN4 MIX17
RPN4 PLB2
RPN4 YMR007W
RPN4 ADI1
RPN4 HXT2
RPN4 SPO20
RPN4 FMS1
RPN4 MSS1
RPN4 YET2
RPN4 FAR3
RPN4 YMR052C-A
RPN4 AVO2
RPN4 ISF1
RPN4 YMR085W
RPN4 YMR090W
RPN4 SNO1
RPN4 SRT1
RPN4 PGM2
RPN4 SPG4
RPN4 ASC1
RPN4 SHH3
RPN4 ADE17
RPN4 RPL15B
RPN4 REC114
RPN4 RPL13B
RPN4 NDE1
RPN4 ALD3
RPN4 ALD2
RPN4 PAI3
RPN4 SIP18
RPN4 ADD37
RPN4 HSC82
